Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkParseText,72,0.0010442773600668337,-0.0034227876743840504,-0.0005656200587305173
BenchmarkParseTextGzip,72,-0.001259598073705572,-0.00016958473927535013,-0.005451558259644605
BenchmarkParseProto,72,-0.008190807886062567,-0.013584817475154973,-0.007247732744533014
BenchmarkParseProtoGzip,72,0.009514675024090634,0.0333735767085108,0.0005239291069718704
BenchmarkParseProtoMap,72,-0.002478846383029436,-0.00891938858743838,-0.004735911707794845
BenchmarkDiscriminatorHTTPHeader,72,-0.007819164060278647,-0.007627118644067797,-0.009116809116809116
BenchmarkOpenMetricsCreate,72,-0.0019624334174376226,0.0,-0.003367003367003367
BenchmarkCreate,72,-0.003552923760177646,-0.0017738359201773836,-0.002962962962962963
BenchmarkCreateBuildInfo,72,0.0024891101431238688,0.0006176652254477722,0.0012484394506867482
BenchmarkTextParse,72,0.00019010550855724927,-0.005247476983222995,-0.006906417045197882
BenchmarkParseError,72,0.00677445263121137,0.020732068502935592,0.0020824947937630157
BenchmarkLabelNames,72,0.0010822510822511232,0.013988522238163477,-0.0046965317919075555
BenchmarkLabelValues,72,-0.004081632653061309,0.004068047337278191,-0.002975083674228169
BenchmarkMetric,72,-0.0014760147601476014,0.005158437730287398,-0.003692762186115214
BenchmarkLabelToSignatureScalar,72,0.000842105263157802,0.0012626262626263104,0.000421052631578901
BenchmarkLabelToSignatureSingle,72,-0.004710632570659412,0.010716677829872701,-0.006756756756756757
BenchmarkLabelToSignatureDouble,72,0.0040633888663145065,0.0028386050283861195,0.002037489812550937
BenchmarkLabelToSignatureTriple,72,-0.002506265664160437,-0.0037535189239912064,-0.005967336683417014
BenchmarkMetricToFingerprintScalar,72,0.0,-0.000944733112895503,0.0004732607666823899
BenchmarkMetricToFingerprintSingle,72,-0.0006734006734006352,-0.01000667111407605,-0.006756756756756757
BenchmarkMetricToFingerprintDouble,72,-0.0016240357287860563,-0.0036393044884755585,-0.0056980056980056055
BenchmarkMetricToFingerprintTriple,72,0.0018820577164365302,0.004385964912280809,0.002512562814070388
BenchmarkMetricToFastFingerprintScalar,72,0.0007824726134584428,0.003910833007430673,-0.0003912363067292214
BenchmarkMetricToFastFingerprintSingle,72,-0.00030381285128354885,-0.0004555116914667649,0.01339904512551964
BenchmarkMetricToFastFingerprintDouble,72,-0.008902077151335227,0.0,-0.008910891089108967
BenchmarkMetricToFastFingerprintTriple,72,0.0,-0.00075700227100677,-0.003037205770690792
BenchmarkEmptyLabelSignature,72,0.18939393939393936,0.05934065934065929,0.21492537313432833
BenchmarkMetricToFastFingerprintTripleConc1,72,0.00229533282325946,0.5259938837920487,-0.0015302218821728283
BenchmarkMetricToFastFingerprintTripleConc2,72,-0.00010081661457799077,0.0007051475773144696,-0.00030287733467946633
BenchmarkMetricToFastFingerprintTripleConc4,72,0.0009078987188540645,0.003426728482160889,0.00040379567938615023
BenchmarkMetricToFastFingerprintTripleConc8,72,0.0038267875125882144,0.003924330851277929,0.0044350367906462245
